date,store_nbr,family,sales,onpromotion,city,state,type,cluster,dcoilwtico,holiday,national_holiday,year,month,day,day_name
2013-01-01,1,BEVERAGES,0.0,0,18.0,12.0,3.0,13,93.31,1,1,0.0,1,1,5.0
2013-01-01,1,DAIRY,0.0,0,18.0,12.0,3.0,13,93.31,1,1,0.0,1,1,5.0
2013-01-01,1,GROCERY I,0.0,0,18.0,12.0,3.0,13,93.31,1,1,0.0,1,1,5.0
2013-01-02,1,BEVERAGES,1091.0,0,18.0,12.0,3.0,13,93.14,0,0,0.0,1,2,6.0
2013-01-02,1,DAIRY,579.0,0,18.0,12.0,3.0,13,93.14,0,0,0.0,1,2,6.0
2013-01-02,1,GROCERY I,2652.0,0,18.0,12.0,3.0,13,93.14,0,0,0.0,1,2,6.0
2013-01-03,1,BEVERAGES,919.0,0,18.0,12.0,3.0,13,92.97,0,0,0.0,1,3,4.0
2013-01-03,1,DAIRY,453.0,0,18.0,12.0,3.0,13,92.97,0,0,0.0,1,3,4.0
2013-01-03,1,GROCERY I,2121.0,0,18.0,12.0,3.0,13,92.97,0,0,0.0,1,3,4.0
2013-01-04,1,BEVERAGES,953.0,0,18.0,12.0,3.0,13,93.12,0,0,0.0,1,4,0.0
2013-01-04,1,DAIRY,460.0,0,18.0,12.0,3.0,13,93.12,0,0,0.0,1,4,0.0
2013-01-04,1,GROCERY I,2056.0,0,18.0,12.0,3.0,13,93.12,0,0,0.0,1,4,0.0
2013-01-05,1,BEVERAGES,1160.0,0,18.0,12.0,3.0,13,93.14666666666668,1,1,0.0,1,5,2.0
2013-01-05,1,DAIRY,464.0,0,18.0,12.0,3.0,13,93.14666666666668,1,1,0.0,1,5,2.0
2013-01-05,1,GROCERY I,2216.0,0,18.0,12.0,3.0,13,93.14666666666668,1,1,0.0,1,5,2.0
2013-01-06,1,BEVERAGES,407.0,0,18.0,12.0,3.0,13,93.17333333333333,0,0,0.0,1,6,3.0
2013-01-06,1,DAIRY,212.0,0,18.0,12.0,3.0,13,93.17333333333333,0,0,0.0,1,6,3.0
2013-01-06,1,GROCERY I,723.0,0,18.0,12.0,3.0,13,93.17333333333333,0,0,0.0,1,6,3.0
2013-01-07,1,BEVERAGES,1158.0,0,18.0,12.0,3.0,13,93.2,0,0,0.0,1,7,1.0
2013-01-07,1,DAIRY,400.0,0,18.0,12.0,3.0,13,93.2,0,0,0.0,1,7,1.0
2013-01-07,1,GROCERY I,2262.0,0,18.0,12.0,3.0,13,93.2,0,0,0.0,1,7,1.0
2013-01-08,1,BEVERAGES,1029.0,0,18.0,12.0,3.0,13,93.21,0,0,0.0,1,8,5.0
2013-01-08,1,DAIRY,384.0,0,18.0,12.0,3.0,13,93.21,0,0,0.0,1,8,5.0
2013-01-08,1,GROCERY I,1782.0,0,18.0,12.0,3.0,13,93.21,0,0,0.0,1,8,5.0
2013-01-09,1,BEVERAGES,1186.0,0,18.0,12.0,3.0,13,93.08,0,0,0.0,1,9,6.0
2013-01-09,1,DAIRY,530.0,0,18.0,12.0,3.0,13,93.08,0,0,0.0,1,9,6.0
2013-01-09,1,GROCERY I,2429.0,0,18.0,12.0,3.0,13,93.08,0,0,0.0,1,9,6.0
2013-01-10,1,BEVERAGES,847.0,0,18.0,12.0,3.0,13,93.81,0,0,0.0,1,10,4.0
2013-01-10,1,DAIRY,345.0,0,18.0,12.0,3.0,13,93.81,0,0,0.0,1,10,4.0
2013-01-10,1,GROCERY I,1544.0,0,18.0,12.0,3.0,13,93.81,0,0,0.0,1,10,4.0
2013-01-11,1,BEVERAGES,1033.0,0,18.0,12.0,3.0,13,93.6,0,0,0.0,1,11,0.0
2013-01-11,1,DAIRY,401.0,0,18.0,12.0,3.0,13,93.6,0,0,0.0,1,11,0.0
2013-01-11,1,GROCERY I,1750.0,0,18.0,12.0,3.0,13,93.6,0,0,0.0,1,11,0.0
2013-01-12,1,BEVERAGES,1143.0,0,18.0,12.0,3.0,13,93.82333333333332,1,1,0.0,1,12,2.0
2013-01-12,1,DAIRY,404.0,0,18.0,12.0,3.0,13,93.82333333333332,1,1,0.0,1,12,2.0
2013-01-12,1,GROCERY I,1796.0,0,18.0,12.0,3.0,13,93.82333333333332,1,1,0.0,1,12,2.0
2013-01-13,1,BEVERAGES,572.0,0,18.0,12.0,3.0,13,94.04666666666667,0,0,0.0,1,13,3.0
2013-01-13,1,DAIRY,194.0,0,18.0,12.0,3.0,13,94.04666666666667,0,0,0.0,1,13,3.0
2013-01-13,1,GROCERY I,961.0,0,18.0,12.0,3.0,13,94.04666666666667,0,0,0.0,1,13,3.0
2013-01-14,1,BEVERAGES,1178.0,0,18.0,12.0,3.0,13,94.27,0,0,0.0,1,14,1.0
2013-01-14,1,DAIRY,411.0,0,18.0,12.0,3.0,13,94.27,0,0,0.0,1,14,1.0
2013-01-14,1,GROCERY I,1902.0,0,18.0,12.0,3.0,13,94.27,0,0,0.0,1,14,1.0
2013-01-15,1,BEVERAGES,1149.0,0,18.0,12.0,3.0,13,93.26,0,0,0.0,1,15,5.0
2013-01-15,1,DAIRY,357.0,0,18.0,12.0,3.0,13,93.26,0,0,0.0,1,15,5.0
2013-01-15,1,GROCERY I,1671.0,0,18.0,12.0,3.0,13,93.26,0,0,0.0,1,15,5.0
